Claim ID,Claim Type,Date Filed,Date Resolved,Total Days,Delay Category,Claim Value ($),Adjuster ID
NS-001,Auto,2025-01-12,2025-02-01,20,Rework Loop,15428,ADJ03
NS-002,Auto,2025-06-28,2025-07-18,20,Document Wait,39498,ADJ07
NS-003,Auto,2025-01-13,2025-01-26,13,Rework Loop,33918,ADJ01
NS-004,Home,2025-02-25,2025-03-17,20,Payment Processing,15246,ADJ08
NS-005,Home,2025-03-18,2025-04-08,21,Document Wait,11263,ADJ07
NS-006,Auto,2025-03-18,2025-04-01,14,Senior Review,7498,ADJ02
NS-007,Home,2025-01-30,2025-02-16,17,Senior Review,40365,ADJ05
NS-008,Auto,2025-05-03,2025-05-21,18,Payment Processing,5964,ADJ05
NS-009,Home,2025-04-08,2025-04-27,19,Document Wait,3803,ADJ04
NS-010,Auto,2025-01-26,2025-02-17,22,Document Wait,25711,ADJ05
NS-011,Home,2025-06-17,2025-07-08,21,Document Wait,25060,ADJ06
NS-012,Auto,2025-06-26,2025-07-12,16,Document Wait,40720,ADJ03
NS-013,Home,2025-03-09,2025-03-24,15,Payment Processing,18491,ADJ04
NS-014,Auto,2025-01-20,2025-02-04,15,Document Wait,21473,ADJ07
NS-015,Auto,2025-01-22,2025-02-06,15,Senior Review,14734,ADJ08
NS-016,Home,2025-06-19,2025-07-07,18,Rework Loop,9950,ADJ04
NS-017,Home,2025-05-23,2025-06-08,16,Payment Processing,39042,ADJ07
NS-018,Auto,2025-03-03,2025-03-31,28,Document Wait,34192,ADJ08
NS-019,Auto,2025-01-18,2025-02-09,22,Document Wait,41920,ADJ03
NS-020,Home,2025-06-07,2025-06-20,13,Payment Processing,39852,ADJ08
NS-021,Home,2025-03-11,2025-04-05,25,Document Wait,8307,ADJ05
NS-022,Auto,2025-02-03,2025-02-19,16,Document Wait,30535,ADJ01
NS-023,Auto,2025-05-14,2025-06-03,20,Document Wait,41779,ADJ05
NS-024,Home,2025-06-10,2025-06-25,15,Senior Review,11387,ADJ01
NS-025,Home,2025-03-29,2025-04-16,18,Document Wait,24588,ADJ05
NS-026,Auto,2025-01-20,2025-02-05,16,Document Wait,6413,ADJ08
NS-027,Auto,2025-05-22,2025-06-12,21,Document Wait,44037,ADJ08
NS-028,Home,2025-02-17,2025-03-05,16,Payment Processing,14680,ADJ04
NS-029,Auto,2025-04-18,2025-05-15,27,Senior Review,29511,ADJ08
NS-030,Auto,2025-03-10,2025-03-25,15,Senior Review,2178,ADJ04
NS-031,Home,2025-03-03,2025-03-12,9,Document Wait,15803,ADJ02
NS-032,Auto,2025-03-31,2025-04-13,13,Rework Loop,19050,ADJ08
NS-033,Auto,2025-05-24,2025-06-07,14,Other,16725,ADJ08
NS-034,Home,2025-02-23,2025-03-08,13,Payment Processing,24019,ADJ07
NS-035,Home,2025-05-05,2025-05-27,22,Document Wait,44929,ADJ02
NS-036,Auto,2025-04-19,2025-05-09,20,Document Wait,17095,ADJ04
NS-037,Auto,2025-05-23,2025-06-10,18,Payment Processing,12825,ADJ05
NS-038,Home,2025-03-10,2025-04-01,22,Document Wait,29841,ADJ02
NS-039,Auto,2025-06-21,2025-07-20,29,Document Wait,6912,ADJ04
NS-040,Auto,2025-04-20,2025-05-08,18,Rework Loop,27082,ADJ01
NS-041,Auto,2025-04-13,2025-04-21,8,Payment Processing,18180,ADJ08
NS-042,Auto,2025-04-24,2025-05-14,20,Other,10944,ADJ04
NS-043,Auto,2025-03-02,2025-03-27,25,Document Wait,21352,ADJ01
NS-044,Auto,2025-06-04,2025-06-22,18,Document Wait,4527,ADJ02
NS-045,Auto,2025-01-23,2025-02-11,19,Rework Loop,27261,ADJ02
NS-046,Home,2025-03-10,2025-03-29,19,Document Wait,41391,ADJ02
NS-047,Home,2025-06-23,2025-07-12,19,Senior Review,17889,ADJ04
NS-048,Auto,2025-03-08,2025-03-24,16,Document Wait,44819,ADJ05
NS-049,Home,2025-03-27,2025-04-19,23,Document Wait,1410,ADJ08
NS-050,Home,2025-05-30,2025-06-26,27,Document Wait,36034,ADJ04
NS-051,Home,2025-03-14,2025-03-28,14,Senior Review,5308,ADJ04
NS-052,Auto,2025-03-19,2025-04-02,14,Rework Loop,40886,ADJ01
NS-053,Home,2025-03-23,2025-04-15,23,Document Wait,9600,ADJ05
NS-054,Auto,2025-02-02,2025-02-22,20,Document Wait,18648,ADJ05
NS-055,Home,2025-02-28,2025-03-20,20,Rework Loop,42365,ADJ05
NS-056,Home,2025-05-11,2025-05-27,16,Document Wait,6848,ADJ07
NS-057,Auto,2025-01-17,2025-01-26,9,Document Wait,42553,ADJ05
NS-058,Auto,2025-04-29,2025-05-17,18,Payment Processing,37559,ADJ01
NS-059,Auto,2025-01-25,2025-02-18,24,Document Wait,36555,ADJ01
NS-060,Auto,2025-06-04,2025-06-22,18,Payment Processing,9152,ADJ01
NS-061,Auto,2025-04-09,2025-05-01,22,Document Wait,24249,ADJ04
NS-062,Auto,2025-06-25,2025-07-09,14,Payment Processing,41475,ADJ03
NS-063,Auto,2025-02-16,2025-03-13,25,Document Wait,27820,ADJ01
NS-064,Auto,2025-04-01,2025-04-22,21,Payment Processing,44703,ADJ04
NS-065,Auto,2025-02-15,2025-03-08,21,Document Wait,25870,ADJ01
NS-066,Home,2025-03-03,2025-03-18,15,Other,23715,ADJ05
NS-067,Auto,2025-03-04,2025-03-15,11,Rework Loop,26913,ADJ06
NS-068,Auto,2025-01-23,2025-02-16,24,Rework Loop,23812,ADJ07
NS-069,Home,2025-03-31,2025-04-23,23,Document Wait,17918,ADJ03
NS-070,Home,2025-03-14,2025-03-26,12,Payment Processing,23454,ADJ06
NS-071,Home,2025-06-10,2025-07-06,26,Document Wait,26044,ADJ04
NS-072,Auto,2025-01-17,2025-02-06,20,Document Wait,34873,ADJ04
NS-073,Auto,2025-04-26,2025-05-09,13,Senior Review,41639,ADJ06
NS-074,Auto,2025-03-23,2025-04-10,18,Payment Processing,22176,ADJ07
NS-075,Auto,2025-05-27,2025-06-10,14,Payment Processing,44376,ADJ07
NS-076,Auto,2025-06-12,2025-07-01,19,Payment Processing,36709,ADJ01
NS-077,Auto,2025-03-20,2025-04-04,15,Senior Review,31273,ADJ08
NS-078,Home,2025-06-27,2025-07-12,15,Other,11920,ADJ02
NS-079,Auto,2025-05-17,2025-06-05,19,Senior Review,6920,ADJ04
NS-080,Auto,2025-03-04,2025-03-25,21,Document Wait,2400,ADJ01
NS-081,Auto,2025-05-07,2025-05-26,19,Document Wait,30646,ADJ07
NS-082,Home,2025-02-24,2025-03-16,20,Payment Processing,33199,ADJ07
NS-083,Auto,2025-02-12,2025-03-03,19,Document Wait,7785,ADJ07
NS-084,Auto,2025-02-20,2025-03-13,21,Other,4091,ADJ04
NS-085,Auto,2025-05-02,2025-05-16,14,Other,44550,ADJ06
NS-086,Home,2025-06-11,2025-07-02,21,Payment Processing,36705,ADJ08
NS-087,Auto,2025-05-07,2025-05-25,18,Rework Loop,42589,ADJ05
NS-088,Home,2025-05-10,2025-05-29,19,Rework Loop,29627,ADJ02
NS-089,Auto,2025-03-07,2025-03-23,16,Senior Review,36199,ADJ02
NS-090,Auto,2025-02-13,2025-02-28,15,Document Wait,14821,ADJ02
NS-091,Home,2025-04-20,2025-05-06,16,Other,28048,ADJ01
NS-092,Auto,2025-04-23,2025-05-10,17,Document Wait,38528,ADJ07
NS-093,Home,2025-01-07,2025-01-31,24,Rework Loop,26358,ADJ07
NS-094,Home,2025-05-25,2025-06-15,21,Rework Loop,32796,ADJ04
NS-095,Auto,2025-04-27,2025-05-15,18,Payment Processing,22828,ADJ07
NS-096,Auto,2025-05-05,2025-05-28,23,Document Wait,26622,ADJ01
NS-097,Auto,2025-06-19,2025-07-06,17,Other,12709,ADJ01
NS-098,Auto,2025-04-13,2025-04-29,16,Other,22220,ADJ06
NS-099,Home,2025-03-18,2025-04-07,20,Payment Processing,17332,ADJ02
NS-100,Home,2025-01-10,2025-01-30,20,Document Wait,23735,ADJ04
NS-101,Auto,2025-06-21,2025-07-03,12,Document Wait,17005,ADJ04
NS-102,Auto,2025-06-14,2025-06-28,14,Document Wait,31835,ADJ02
NS-103,Home,2025-03-02,2025-03-20,18,Rework Loop,24975,ADJ03
NS-104,Home,2025-06-10,2025-07-04,24,Document Wait,11532,ADJ05
NS-105,Auto,2025-06-03,2025-06-14,11,Rework Loop,38535,ADJ07
NS-106,Home,2025-02-25,2025-03-10,13,Rework Loop,7478,ADJ05
NS-107,Home,2025-02-05,2025-02-26,21,Document Wait,23554,ADJ07
NS-108,Auto,2025-01-23,2025-02-10,18,Senior Review,1629,ADJ07
NS-109,Home,2025-02-02,2025-02-19,17,Senior Review,42453,ADJ08
NS-110,Auto,2025-04-27,2025-05-12,15,Rework Loop,41164,ADJ08
NS-111,Home,2025-04-27,2025-05-18,21,Rework Loop,21922,ADJ04
NS-112,Auto,2025-03-18,2025-04-09,22,Rework Loop,31255,ADJ07
NS-113,Auto,2025-01-13,2025-01-31,18,Senior Review,12717,ADJ08
NS-114,Auto,2025-04-06,2025-04-27,21,Senior Review,19127,ADJ05
NS-115,Home,2025-01-08,2025-01-26,18,Rework Loop,6410,ADJ04
NS-116,Home,2025-05-11,2025-05-29,18,Rework Loop,32001,ADJ08
NS-117,Home,2025-01-10,2025-01-23,13,Rework Loop,27302,ADJ04
NS-118,Auto,2025-06-24,2025-07-13,19,Other,37072,ADJ06
NS-119,Home,2025-05-26,2025-06-11,16,Other,18554,ADJ05
NS-120,Auto,2025-03-06,2025-03-20,14,Rework Loop,21479,ADJ02
NS-121,Home,2025-07-01,2025-07-16,15,Rework Loop,32532,ADJ05
NS-122,Home,2025-05-20,2025-06-08,19,Document Wait,13521,ADJ05
NS-123,Auto,2025-04-08,2025-04-23,15,Document Wait,35805,ADJ03
NS-124,Auto,2025-01-17,2025-02-11,25,Rework Loop,9075,ADJ08
NS-125,Auto,2025-01-09,2025-01-28,19,Other,32173,ADJ08
NS-126,Auto,2025-02-22,2025-03-18,24,Rework Loop,32108,ADJ02
NS-127,Auto,2025-04-18,2025-05-06,18,Document Wait,10743,ADJ03
NS-128,Home,2025-03-24,2025-04-06,13,Rework Loop,8562,ADJ07
NS-129,Home,2025-06-07,2025-06-28,21,Rework Loop,35047,ADJ07
NS-130,Home,2025-04-29,2025-05-15,16,Payment Processing,20813,ADJ01
NS-131,Home,2025-01-31,2025-02-24,24,Rework Loop,41793,ADJ04
NS-132,Auto,2025-06-24,2025-07-07,13,Rework Loop,12191,ADJ02
NS-133,Auto,2025-01-06,2025-01-23,17,Other,19887,ADJ01
NS-134,Auto,2025-03-20,2025-04-09,20,Other,5464,ADJ04
NS-135,Auto,2025-06-15,2025-07-04,19,Rework Loop,28661,ADJ02
NS-136,Home,2025-03-04,2025-03-23,19,Rework Loop,10121,ADJ02
NS-137,Auto,2025-02-17,2025-03-10,21,Rework Loop,29580,ADJ02
NS-138,Home,2025-07-01,2025-07-17,16,Payment Processing,18641,ADJ08
NS-139,Home,2025-01-26,2025-02-14,19,Payment Processing,21923,ADJ05
NS-140,Auto,2025-01-29,2025-02-13,15,Document Wait,44858,ADJ05
NS-141,Home,2025-01-16,2025-02-06,21,Document Wait,31634,ADJ08
NS-142,Auto,2025-02-21,2025-03-21,28,Payment Processing,42401,ADJ08
NS-143,Auto,2025-05-06,2025-05-23,17,Senior Review,21840,ADJ02
NS-144,Auto,2025-03-31,2025-04-17,17,Other,19688,ADJ07
NS-145,Home,2025-01-15,2025-02-02,18,Senior Review,17341,ADJ06
NS-146,Auto,2025-04-19,2025-05-11,22,Document Wait,43900,ADJ08
NS-147,Home,2025-01-19,2025-02-03,15,Senior Review,41604,ADJ08
NS-148,Home,2025-01-19,2025-02-03,15,Document Wait,19676,ADJ08
NS-149,Home,2025-02-06,2025-02-17,11,Rework Loop,11179,ADJ05
NS-150,Home,2025-01-09,2025-01-27,18,Document Wait,15525,ADJ02
